読み,よみ,reading
熱帯,ねったい,tropics
拍手,はくしゅ,clapping hands; applause
肌,はだ,skin / body (in the context of intimate bodily contact) / surface; grain (e.g. of wood); texture / disposition; temperament; character; type
飯,めし,cooked rice / meal; food / one's livelihood
悲劇,ひげき,tragedy; tragic drama; tragic play / tragedy; calamity; disaster
付き合い,つきあい,association; socializing; socialising; fellowship
布,ぬの,cloth / bujian (spade-shaped bronze coin of ancient China)
墓,はか,gravesite; tomb
暮れ,くれ,sunset; sundown; nightfall; dusk / end; close / year-end; end of the year
本物,ほんもの,genuine article; real thing; real deal
迷惑,めいわく,trouble; bother; annoyance; nuisance; inconvenience / to be troubled (by); to be bothered (by); to be inconvenienced (by)
離婚,りこん,divorce
恋,こい,(romantic) love
一生,いっしょう,"whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era / (the only, the greatest, etc.) of one's life"
流行,りゅうこう,fashion; fad; vogue; craze / prevalence (e.g. of a disease)
思い出,おもいで,memories; recollections; reminiscence
香り,かおり,aroma; fragrance; scent; smell
砂漠,さばく,desert
祭,まつり,festival; feast
級,きゅう,"class (e.g. school); grade; rank / kyū; kyu; junior rank in martial arts, go, shogi, etc."
現れ,あらわれ,embodiment; manifestation; materialization; materialisation; expression; indication
職,しょく,job; work; employment; occupation; position / duties / trade; skill
案内,あんない,guidance; leading (the way); showing around / information; notice; notification / announcement (of one's arrival) / invitation / acquaintance; knowledge
囲む,かこむ,"to surround; to encircle; to enclose; to fence; to wall in / to besiege; to lay siege to / to play (go, shogi, etc.)"
胃,い,stomach / Chinese "stomach" constellation (one of the 28 mansions)
印,しるし,"mark; sign / symbol; emblem / badge; crest; flag / evidence; proof / token (of gratitude, affection, etc.)"
煙,けむり,smoke; fumes
奥,おく,"inner part; inside; interior; depths (e.g. of a forest); back (of a house, drawer, etc.); bottom (e.g. of one's heart); recesses; heart"
可,か,passable; acceptable; tolerable; fair
家賃,やちん,rent
覚悟,かくご,resolution; resignation; readiness; preparedness
間違い,まちがい,mistake; error; blunder / accident; mishap; trouble / improper conduct (e.g. between man and woman); indiscretion
岸,きし,bank; coast; shore
ともに,共に,together; jointly / at the same time; with; as ...; including; along with / both
経由,けいゆ,going through; going via; going by way of
誇り,ほこり,pride; boast
誤り,あやまり,error; mistake; slip; bug
誤解,ごかい,misunderstanding
合わせる,あわせる,"to match (rhythm, speed, etc.) / to join together; to unite; to combine; to add up / to face; to be opposite (someone) / to compare; to check with / to cause to meet (e.g. an unpleasant fate) / to place together; to connect; to overlap / to mix; to combine / to put blade to blade; to fight"
収穫,しゅうかく,harvest; crop; ingathering / fruits (of one's labors); results
修理,しゅうり,repair; mending; fixing; servicing
宿,やど,"lodging; inn; hotel / house; home; dwelling / home of a servant's parents (or guarantor, etc.)"
詳しい,くわしい,detailed; full; accurate / knowing very well; well-acquainted; well-informed
新鮮,しんせん,fresh
進歩,しんぽ,progress; advance; improvement; development
睡眠,すいみん,sleep
成人,せいじん,"adult (esp. person 20 years old or over); grownup / becoming an adult; coming of age; growing up (to be a man, woman)"
正直,しょうじき,honest; frank; candid; straightforward / honestly; frankly
想像,そうぞう,imagination; guess
巣,す,nest; rookery; breeding place; hive / den / haunt / (spider's) web
速度,そくど,speed; velocity; rate
多少,たしょう,more or less; somewhat; a little; a few; some / amount; quantity
仲,なか,relation; relationship
天然,てんねん,nature; spontaneity / natural airhead
塔,とう,tower; steeple; spire / stupa; pagoda; dagoba
突然,とつぜん,abrupt; sudden; unexpected
年代,ねんだい,age; era; period; date
梅,うめ,Japanese apricot (Prunus mume); Japanese plum; ume; Chinese plum / lowest (of a three-tier ranking system)
半ば,なかば,middle; half; semi; halfway; partly
疲れ,つかれ,tiredness; fatigue
瓶,びん,bottle; jar; decanter; flagon; phial; vial
不自由,ふじゆう,"discomfort; inconvenience / poverty; want; destitution / disability; impairment (physical, mental, etc.)"
普段,ふだん,usual; normal; everyday; habitual; ordinary / usually; normally; generally; habitually; always
平等,びょうどう,equality; impartiality; evenness
柄,がら,pattern; design / body build; figure; physique / essential qualities; character; nature / appropriate to; fitting of; suitable for
弁当,べんとう,bento; Japanese box lunch
堀,ほり,moat; fosse / canal; ditch
妙,みょう,strange; weird; odd; curious / wonder; mystery; miracle; excellence / cleverness; adroitness; knack; skill
問い,とい,question; query
勇気,ゆうき,courage; bravery; valour; valor; nerve; boldness
予報,よほう,forecast; prediction
恋人,こいびと,lover; sweetheart; boyfriend; girlfriend
一言,ひとこと,single word; a few words; brief comment
方々,かたがた,they (of people); gentlemen (of the ...) / you (usu. plural) / various
なんでも,何でも,any; whatever one likes; by all means; anything; everything / I am told; I understand; they say; I hear
始まり,はじまり,origin; beginning
稲,いね,rice plant
王子,おうじ,prince / subordinate Kumano shrine
下り,くだり,down-train (going away from Tokyo) / down-slope; downward going / southbound
家具,かぐ,furniture
課,か,lesson / section (in an organization); division; department / counter for lessons and chapters (of a book)
芽,め,sprout
感謝,かんしゃ,thanks; gratitude
観察,かんさつ,observation; survey; watching
岩,いわ,rock; boulder / crag; cliff / anchor
気候,きこう,climate
気味,きみ,sensation; feeling / tendency; propensity
鬼,おに,"oni; ogre; demon / spirit of a deceased person / ogre-like person (i.e. fierce, relentless, merciless, etc.) / it (in a game of tag, hide-and-seek, etc.) / Chinese ""ghost" constellation (one of the 28 mansions) / very; extremely; super-"
休憩,きゅうけい,rest; break; recess; intermission
境,さかい,border; boundary / turning point; watershed / area; region; spot; space; environment / psychological state; mental state / cognitive object; something perceptible by the sense organs or mind
禁煙,きんえん,abstaining from smoking; quitting smoking / No Smoking!; Smoking Prohibited!
筋肉,きんにく,muscle; sinew
金曜,きんよう,Friday
苦手,にがて,poor (at); weak (in); not very good (at) / dislike (of); difficult to deal with
備える,そなえる,to furnish with; to equip with; to provide; to install / to prepare for; to make preparations for; to make provision for / to possess (all that is needed); to be endowed with; to be equipped with / to be born with; to have since birth
結ぶ,むすぶ,to tie; to bind; to link / to bear (fruit) / to close (e.g. deal); to confirm; to conclude / to connect (two distant places) / to close tightly; to purse (e.g. lips) / to unite (with); to ally; to join hands
見送り,みおくり,seeing one off; farewell; escort
好み,このみ,liking; taste; choice
豪華,ごうか,wonderful; gorgeous; splendor; splendour; pomp; extravagance
国語,こくご,national language / Japanese language (often as a school subject in Japan) / native Japanese words (as opposed to loanwords)
座席,ざせき,seat
才能,さいのう,talent; ability
酸素,さんそ,oxygen (O)
支払う,しはらう,to pay
こと,事,"thing; matter / incident; occurrence; event; something serious; trouble; crisis / circumstances; situation; state of affairs / work; business; affair / after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to / nominalizing suffix / pretending to ...; playing make-believe ... / alias; aka; nickname; alternative name; also known as"
祝い,いわい,congratulation; congratulations; celebration; festival; congratulatory gift
出会い,であい,meeting; rendezvous; encounter / confluence
冗談,じょうだん,jest; joke; funny story
針,はり,"needle; pin / hook / stinger; thorn / hand (e.g. clock, etc.); pointer / staple (for a stapler) / needlework; sewing / malice / counter for stitches"
図,ず,drawing; picture; diagram; figure; illustration; chart; graph / sight; scene
尊重,そんちょう,respect; esteem; regard
袋,ふくろ,bag; sack; pouch / skin of an orange (and other like fruits) / dead end / plot of land surrounded by water
大部分,だいぶぶん,most part; greater part; majority
通行,つうこう,"passage (of people, traffic); passing / common usage"
天候,てんこう,weather
到着,とうちゃく,arrival
独身,どくしん,bachelorhood; single; unmarried; celibate
