読み,よみ,reading
存在,そんざい,existence; being
態度,たいど,attitude; manner; behaviour
逮捕,たいほ,arrest; apprehension; capture
大使,たいし,ambassador
担当,たんとう,"being in charge (of an area of responsibility); being responsible (for a work role, etc.)"
地区,ちく,district; section; sector
仲間,なかま,company; fellow; colleague; associate; comrade; mate; group; circle of friends; partner / member of the same category
長期,ちょうき,long-term
直接,ちょくせつ,direct; immediate; personal; firsthand
提案,ていあん,proposal; proposition; suggestion
伝統,でんとう,tradition; convention
党,とう,party (political) / faction; -ite
同様,どうよう,identical; equal to; same (kind); like; similarity
道路,どうろ,road; highway
特徴,とくちょう,feature; trait; characteristic; peculiarity; distinction
独立,どくりつ,independence (e.g. Independence Day); self-support
能力,のうりょく,ability; faculty
馬,うま,horse / horse racing / promoted bishop
畑,はたけ,"field (for fruits, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation / field (of specialization); sphere; area / womb; birth; birthplace"
発行,はっこう,"publication; issue (of journal, newspaper, etc.) / issue (of banknotes, bonds, passport, etc.) / raising an event (software)"
発展,はってん,"development; growth; expansion; extension; flourishing / development (of a situation, story, etc.); advancement; progression; unfolding / playing around; having an active sex life"
発表,はっぴょう,announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling
彼ら,かれら,they; them
被害,ひがい,(suffering) damage; injury; harm
費用,ひよう,cost; expense
非常,ひじょう,emergency / extraordinary; unusual
表現,ひょうげん,expression; presentation / representation; notation
表情,ひょうじょう,"facial expression; countenance / look; appearance; expression (vocal, etc.)"
評価,ひょうか,valuation; estimation; assessment; evaluation; rating / to value; to assess; to rate; to estimate value / to appreciate; to value highly; to acknowledge the value (of something)
不安,ふあん,anxiety; uneasiness; insecurity; suspense
不足,ふそく,insufficiency; shortage; deficiency; lack; dearth
不満,ふまん,dissatisfaction; displeasure; discontent; complaints; unhappiness; disgruntled
夫人,ふじん,"wife; Mrs; madam / wife of a nobleman (aristocrat, etc.) / consort of the emperor"
父親,ちちおや,father
武器,ぶき,weapon; arms; ordnance / weapon (something used to gain an advantage); asset
幅,はば,width; breadth / freedom (e.g. of thought); latitude / gap; difference (e.g. in price); range (e.g. of voice)
母親,ははおや,mother
豊か,ゆたか,abundant; wealthy; plentiful; rich; affluent / very; extremely; full of; great
本人,ほんにん,the person himself
無料,むりょう,free (of charge); gratuitous
名,な,name; given name / title / fame; renown; reputation / pretext; pretense; justification; appearance
明確,めいかく,clear; precise; definite; distinct
友人,ゆうじん,friend
有効,ゆうこう,valid; effective / yuko (judo)
様子,ようす,state; state of affairs; situation; circumstances / appearance; look; aspect / sign; indication
利益,りえき,"profit; gains / benefit; advantage; interest (of the public, etc.) / grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle"
理解,りかい,understanding; comprehension; appreciation; sympathy
流れ,ながれ,stream; current; flow / course of events
料金,りょうきん,fee; charge; fare
老人,ろうじん,the aged; old person
話題,わだい,topic; subject
数,かず,number; amount
夫婦,ふうふ,"married couple; spouses; husband and wife; couple; pair / his and hers; pair of objects, one larger (for man), one smaller (for woman)"
例,れい,custom; practice; habit; usual / said; aforementioned / instance; example; case; illustration; usage / precedent
年齢,ねんれい,age; years
我々,われわれ,we
以前,いぜん,ago; since; before; previous
意思,いし,intention; wish; purpose; mind (to do)
一層,いっそう,"much more; still more; all the more; more than ever / single layer (or storey, etc.) / rather; sooner; preferably"
印象,いんしょう,impression
汚染,おせん,pollution; contamination
何か,なにか,something
価値,かち,value; worth; merit
歌手,かしゅ,singer
絵画,かいが,painting; picture
確認,かくにん,confirmation; verification; validation; review; check; affirmation; identification
学者,がくしゃ,scholar
学習,がくしゅう,study; learning; tutorial
額,がく,picture (framed) / amount or sum (of money)
株,かぶ,"stock; share / stump / root; rootstock / strain (of bacteria, etc.) / tradeable rank; goodwill / one's forte"
感覚,かんかく,sense; sensation; feeling; intuition
機械,きかい,machine; mechanism / instrument; appliance; apparatus
義務,ぎむ,duty; obligation; responsibility
急速,きゅうそく,rapid (e.g. progress)
許可,きょか,permission; approval; authorization; license / to permit; to authorize
供給,きょうきゅう,supply; provision
緊張,きんちょう,tension; mental strain; nervousness
近代,きんだい,present day; modern times
金額,きんがく,amount of money
空,から,emptiness; vacuum; blank
訓練,くんれん,training; drill; practice; discipline
劇,げき,drama; play / powerful drug
建築,けんちく,construction; architecture (of buildings)
肩,かた,shoulder
現金,げんきん,cash; ready money; money on hand; currency / mercenary; self-interested; calculating
現象,げんしょう,phenomenon
構成,こうせい,organization; organisation; configuration; composition
貢献,こうけん,contribution (furthering a goal or cause); services (to a cause)
合計,ごうけい,sum total; total amount
差別,さべつ,"distinction; differentiation; discrimination / discrimination (against women, minorities, etc.)"
最低,さいてい,least; lowest; minimum / worst / awful; horrible; nasty; disgusting / at the very least
材料,ざいりょう,"ingredients; material / material (for a novel, experiment, etc.); subject matter; data / basis (for a decision); grounds; evidence / (market) factor"
参考,さんこう,reference; consultation
残り,のこり,remnant; residue; remaining; left-over
思想,しそう,thought; idea; ideology
支配,しはい,domination; rule; control / direction; management; guidance / control (e.g. over one's emotions); determining (e.g. one's fate); governing; influence; holding sway over
資源,しげん,resources
資本,しほん,funds; capital
失業,しつぎょう,unemployment / losing one's job; becoming unemployed
実は,じつは,as a matter of fact; by the way; to tell you the truth; to be honest; frankly
実行,じっこう,execution (e.g. of a plan); carrying out; practice; action; implementation; fulfillment; realization
手術,しゅじゅつ,surgery; operation; procedure
手段,しゅだん,means; way; measure
周囲,しゅうい,surroundings; environs / circumference
就職,しゅうしょく,finding employment; getting a job
集中,しゅうちゅう,concentration; focusing; convergence; centralization; integration; gathering together / within a collection of works
重大,じゅうだい,serious; important; significant; grave; weighty
出席,しゅっせき,attendance; presence; appearance / to attend; to be present; to appear
出版,しゅっぱん,publication
章,しょう,chapter; section / medal
場面,ばめん,scene; setting (e.g. of novel)
職業,しょくぎょう,occupation; business
食事,しょくじ,meal / to eat
食品,しょくひん,food; food products; foodstuffs
信用,しんよう,confidence; trust; faith; reputation / credit (finance)
信頼,しんらい,reliance; trust; faith; confidence
神,かみ,god; deity; divinity; spirit; kami / incredible; fantastic / emperor of Japan / thunder
制限,せいげん,restriction; restraint; limitation; limit
勢い,いきおい,force; vigor; vigour; energy; spirit; life / influence; authority; power; might / impetus; momentum; course (of events) / naturally; necessarily
性格,せいかく,character; personality; disposition; nature
成功,せいこう,success; hit
成績,せいせき,results; record; grades; marks
正午,しょうご,noon; mid-day
生命,せいめい,life; existence
請求,せいきゅう,claim; demand; charge; application; request; billing (for a service)
青年,せいねん,youth; young man
跡,あと,trace; tracks; mark; sign / site; remains; ruins / scar
設計,せっけい,plan; design; layout
専攻,せんこう,major subject; special study
選択,せんたく,selection; choice; option
相当,そうとう,"corresponding to (in meaning, function, etc.); being equivalent to / appropriate; suitable; befitting; proportionate / to be proportionate to; to be in keeping with; to be deserving of; to be worthy of / considerable; substantial / considerably; rather; quite; fairly; pretty"
損害,そんがい,damage; injury; loss
体育,たいいく,physical education
代理,だいり,"representation; agency; proxy; deputy; agent; attorney; substitute; alternate; acting (principal, etc.)"
大臣,だいじん,cabinet minister
大半,たいはん,majority; more than half; most (of) / mostly; largely; mainly; predominately; nearly
単位,たんい,unit; denomination / credit (in school)
誕生,たんじょう,birth; creation; formation
地,ち,"earth; ground; land; soil / place / territory / bottom (of a package, book, etc.) / earth (one of the five elements)"
地位,ちい,(social) position; status
地下,ちか,basement; cellar; underground place / underground; below ground / secret; under cover / underground (railway); subway; metro
中学,ちゅうがく,middle school; junior high school
中止,ちゅうし,suspension; stoppage; discontinuance; interruption
注目,ちゅうもく,notice; attention; observation
著者,ちょしゃ,author (usu. of a particular book); writer
定期,ていき,fixed period; fixed term / regular; periodic; periodical / fixed-term commutation pass / fixed-term deposit / futures contracts
抵抗,ていこう,resistance; opposition; standing up to / reluctance; repulsion; repugnance / resistance; drag; friction / electrical resistance / resistor
提出,ていしゅつ,"presentation (of documents); submission (of an application, report, etc.); production (e.g. of evidence); introduction (e.g. of a bill); filing; turning in"
徹底,てってい,"thoroughness; completeness; consistency / thorough enforcement; seeing to it that a policy, etc. is carried out without exception"
鉄道,てつどう,railroad; railway; rail transport
都,みやこ,"capital; metropolis; seat of government / capital (of music, fashion, etc.); city (e.g. of light) / location of the Imperial Palace"
日常,にちじょう,everyday; daily; ordinary; usual; routine; regular
農家,のうか,farmer; farming family / farmhouse
俳優,はいゆう,actor; actress; player; performer
犯罪,はんざい,crime; offence; offense
範囲,はんい,extent; scope; sphere; range; span
微妙,びみょう,delicate; subtle; sensitive / difficult; delicate (situation); complicated / doubtful; questionable; dicey; tricky
物価,ぶっか,prices of commodities; prices (in general); cost-of-living
物語,ものがたり,tale; story; legend
物質,ぶっしつ,material; substance / matter
分析,ぶんせき,analysis
雰囲気,ふんいき,mood; ambience; ambiance; aura; feel / a certain air; presence; special aura; something (about someone) / air; atmosphere
文字,もじ,letter (of alphabet); character / writing
変更,へんこう,change; modification; alteration; revision; amendment
魅力,みりょく,charm; fascination; glamour; glamor; attraction; appeal
模様,もよう,pattern; figure; design / state; condition / conjecture of the current situation; the way it seems / model; pattern; example / indicates that something seems likely (e.g. rain or storm) / framework (in go); territorial framework; moyo
唯一,ゆいいつ,only; sole; unique
余裕,よゆう,surplus; margin; leeway; room; space; time; allowance; flexibility; scope / composure; placidity; complacency; calm
旅,たび,travel; trip; journey
湾,わん,bay; gulf; inlet
管,かん,pipe; tube
谷,たに,valley
痛み,いたみ,pain; ache; soreness; grief; distress / damage; injury; wear; bruise; break
支払い,しはらい,payment
戦い,たたかい,battle; fight; struggle; conflict
保証,ほしょう,guarantee; security; assurance; pledge; warranty
演奏,えんそう,musical performance
意外,いがい,unexpected; surprising
移動,いどう,movement; transfer; migration; removal; travel / mobile; moving; traveling; travelling; roving
一体,いったい,"(what) the heck; (why) in the world; (who) on earth / one object; one body; unity / one form; one style / one Buddhist image (or carving, etc.) / generally; in general"
一致,いっち,coincidence; agreement; union; match / conformity; consistency / cooperation
化学,かがく,chemistry
何も,なにも,nothing (with neg. verbs); not any / and everything else (with noun plus "mo"); all
完成,かんせい,complete; completion / perfection; accomplishment
完全,かんぜん,perfect; complete
感情,かんじょう,emotion; feeling; feelings; sentiment
歓迎,かんげい,welcome; reception
観客,かんきゃく,audience; spectator; spectators
旗,はた,flag / pataka (banner)
すでに,既に,already; too late
記憶,きおく,memory; recollection; remembrance / storage
貴重,きちょう,precious; valuable
球,きゅう,sphere / counter for balls
巨大,きょだい,huge; gigantic; enormous
許す,ゆるす,"to permit; to allow; to approve; to consent to / to forgive; to pardon; to excuse; to tolerate / to exempt (someone) from; to remit; to release; to let off / to acknowledge; to admit / to trust; to confide in; to let one's guard down / to give up (points in a game, distance in a race, etc.); to yield"
強力,きょうりょく,powerful; strong
教科書,きょうかしょ,textbook; coursebook; schoolbook
金属,きんぞく,metal
具体,ぐたい,concrete; tangible; material
刑事,けいじ,(police) detective / criminal matter
計算,けいさん,calculation; reckoning; count / forecast
穴,あな,"hole / deficit; shortage; missing person (in a team, meeting, etc.) / vacancy; opening / flaw / profitable place (or item, etc.) not well known by others / upset victory (with a large payoff) / pit (of a theater) / hiding place / underbelly (of society, etc.)"
限界,げんかい,limit; bound
互い,たがい,mutual; reciprocal
腰,こし,"back; lower back; waist; hips; lumbar region / body (of hair, noodle, paper, etc.); resilience; spring"
骨,ほね,bone / frame / outline; core / backbone; spirit; fortitude / laborious; troublesome; difficult
困難,こんなん,difficulty; hardship; trouble; distress
財産,ざいさん,property; fortune; assets
作曲,さっきょく,composition; setting (of music)
支出,ししゅつ,expenditure; disbursement; expenses
死亡,しぼう,death; mortality / to die; to pass away
時,とき,time; hour; moment / occasion; case / chance; opportunity; season / the times; the age; the day / tense
自動,じどう,automatic action; automation operation; self-motion / intransitive verb
質,しつ,quality; value / nature; inherent quality; character / logical quality
酒,さけ,alcohol; sake
週,しゅう,week
重視,じゅうし,regarding as important; attaching importance to; taking a serious view of; putting emphasis on
銃,じゅう,gun; rifle; small arms
瞬間,しゅんかん,moment; second; instant
順調,じゅんちょう,favourable; favorable; doing well; OK; all right
署名,しょめい,signature
女優,じょゆう,actress
松,まつ,pine tree (Pinus spp.) / highest (of a three-tier ranking system)
症状,しょうじょう,symptoms; condition
笑い,わらい,"laugh; laughter / smile / sneer / sex aids (e.g. dildos, pornographic books, erotic woodblock prints, etc.)"
笑顔,えがお,smiling face; smile
衝突,しょうとつ,collision; crash; running into / conflict; quarrel; clashing
常に,つねに,always; constantly
植物,しょくぶつ,plant; vegetation
食料,しょくりょう,food
心臓,しんぞう,heart / guts; nerve; cheek; gall; spine / central part
心配,しんぱい,worry; concern; anxiety; uneasiness; fear / care; help; aid; assistance
心理,しんり,state of mind; mentality; psychology
人類,じんるい,mankind; humanity
世紀,せいき,century / era
正,せい,(logical) true; regular / 10^40; ten thousand undecillion / original / positive; greater than zero
生物,せいぶつ,living thing; creature; life / biology
絶対,ぜったい,absolutely; unconditionally / absolute; unconditional; unmistakable / absoluteness
操作,そうさ,operation; management; handling / manipulating (to one's benefit); manipulation; influencing
太陽,たいよう,sun
滞在,たいざい,stay; sojourn
大戦,たいせん,great war; great battle
単純,たんじゅん,simple; plain; uncomplicated; straightforward
知識,ちしき,knowledge; information
注文,ちゅうもん,order; request
貯金,ちょきん,putting money aside; savings; deposit (e.g. in a bank) / accumulated surplus of wins; wins in the bank
底,そこ,bottom; sole
適切,てきせつ,pertinent; appropriate; adequate; relevance
適用,てきよう,applying (e.g. a technology); adoption
鉄,てつ,iron (Fe) / strong and hard (as iron) / railway / railway enthusiast
電子,でんし,electron / electronic
土,つち,"earth; soil; dirt; clay; mud / the earth (historically, esp. as opposed to the heavens); the ground; the land / low-quality torinoko-gami (containing mud) / (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)"
土曜,どよう,Saturday
同一,どういつ,identical; same; one and the same; equal / fair; equal treatment; without discrimination
独特,どくとく,peculiarity; uniqueness; characteristic / understood only by oneself
日中,にっちゅう,daytime; during the day / Japan and China
入場,にゅうじょう,entrance; admission; entering
農民,のうみん,farmer; peasant
波,なみ,wave
博士,はかせ,"expert; learned person / doctor; PhD; Dr. / instructor at the imperial court (ritsuryo period) / pitch and length marks (to accompany a Buddhist liturgical chant, etc.)"
博物館,はくぶつかん,museum
爆発,ばくはつ,explosion; detonation; eruption
発見,はっけん,discovery; detection; finding
秘密,ひみつ,secret; secrecy; confidentiality; privacy / mystery / secret (e.g. to success) / esoteric teachings
飛行,ひこう,aviation; flight; flying / to fly; to take a flight
表面,ひょうめん,surface; face / outside; exterior / appearances; superficiality
不正,ふせい,injustice; unfairness; wrongdoing; iniquity; impropriety; irregularity; dishonesty; illegality; fraud
婦人,ふじん,woman; lady; adult female
風景,ふうけい,scenery; scene; landscape; view; sight / scene (e.g. of a crime)
別に,べつに,(not) particularly; (not) especially; (not) specially / separately; apart; additionally; extra
暮らし,くらし,life; living; livelihood; life circumstances
末,すえ,tip; top / end; close (e.g. close of the month) / youngest child / descendants; offspring; posterity / future / finally / trivialities
未来,みらい,the future (usually distant) / future tense / the world to come
名人,めいじん,master; expert
命,いのち,life; life force / lifetime; lifespan / most important thing; foundation; core / paired tattoos of the "life" kanji on the upper arms of a man and woman (indicating unwavering love) / fate; destiny; karma
命令,めいれい,order; command; decree; directive / (software) instruction; statement
野,の,plain; field / hidden (structural) member / wild / lacking a political post
役,やく,"use; service; role / post; position / scoring combination (e.g. in mahjong, card games, etc.); hand"
油,あぶら,oil
友,とも,friend; companion; comrade; pal
予防,よぼう,prevention; precaution; protection against
曜日,ようび,day of the week
要素,ようそ,component; factor; item (e.g. in list) / element (e.g. in array); member (e.g. data structure)
涙,なみだ,tear; tears; lachrymal secretion / sympathy
列車,れっしゃ,train; railway train
論文,ろんぶん,thesis; essay; treatise; paper; article
一家,いっか,a family; a household; a home; one's family; whole family / (one's own) style; school / gang; (yazuka) family
少女,しょうじょ,little girl; maiden; young lady; female usually between 7 and 18 years old / female between 17 and 20 years old (ritsuryo period)
乗客,じょうきゃく,passenger
位置,いち,place; situation; position; location
丘,おか,hill; height; knoll; rising ground / bonus points awarded to the winner at the end of a game
影,かげ,"shadow; silhouette; figure; shape / reflection; image / ominous sign / light (stars, moon) / trace; shadow (of one's former self)"
格好,かっこう,shape; form; figure; posture; pose / appearance / state; situation / suitable; fit; reasonable / about
寄付,きふ,contribution; donation
桜,さくら,cherry tree; cherry blossom / decoy; fake buyer; shill / hired applauder / horse meat
年寄り,としより,old person; elderly person; senior citizen / trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay / senior statesman (of the Tokugawa shogunate) / important local official (under the Tokugawa Shogunate)
残す,のこす,"to leave (behind, over); to bequeath; to save; to reserve"
郵便,ゆうびん,mail service; postal service; mail; post / mail; postal matter; postal items
有利,ゆうり,advantageous; better; profitable; lucrative
喜び,よろこび,joy; delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations
勝ち,かち,win; victory
他,た,other (esp. people and abstract matters)
異常,いじょう,strangeness; abnormality; disorder
一種,いっしゅ,species; kind; variety
引退,いんたい,retirement
円,えん,yen; Japanese monetary unit / circle
演技,えんぎ,acting; performance
縁,ふち,rim; brim; edge; brink
なんとか,何とか,something; something or other; so-and-so / somehow; anyhow; one way or another
火災,かさい,conflagration; fire
画家,がか,painter; artist
会計,かいけい,account; finance; accountant; treasurer; paymaster; reckoning; bill
解釈,かいしゃく,explanation; interpretation
汗,あせ,sweat; perspiration / moisture; condensation
願い,ねがい,desire; wish; request; prayer; petition; application
気温,きおん,atmospheric temperature
休暇,きゅうか,holiday; day off; furlough; absence (from work)
急激,きゅうげき,sudden; abrupt; rapid; sharp; drastic; radical
強盗,ごうとう,robber; mugger / robbery; burglary
型,かた,"model; type (e.g. of machine, goods, etc.) / type; style; pattern / mold (mould); template; model / kata (standard form of a movement, posture, etc. in martial arts, sport, etc.) / form (i.e. customary procedure) / size (i.e. clothing, shoes) / inch (in diagonal display size) / (taxonomical) form"
見事,みごと,splendid; magnificent; excellent; fine; superb; beautiful; admirable / utter (esp. defeat); total; complete / something worth seeing; sight; spectacle
元,もと,"origin; source / base; basis; foundation; root / cause / ingredient; material / (somebody's) side; (somebody's) location / original cost (or capital, principal, etc.) / (plant) root; (tree) trunk / first section of a waka / counter for blades of grass, tree trunks, etc., and for falcons (in falconry) / handle (chopsticks, brush, etc.); grip"
限る,かぎる,to restrict; to limit; to confine / to be restricted to; to be limited to; to be confined to / to be best (for); to be the best plan; to be the only way (to)
呼吸,こきゅう,breathing; respiration / knack; trick; secret (of doing something) / harmony; balance; synchronization; accord / short interval; short pause
合格,ごうかく,success; passing (e.g. exam); eligibility
根,ね,"root (of a plant) / root (of a tooth, hair, etc.); center (of a pimple, etc.) / root (of all evil, etc.); source; origin; cause; basis / one's true nature / (fishing) reef"
罪,つみ,crime; sin; wrongdoing; indiscretion / penalty; sentence; punishment / fault; responsibility; culpability / thoughtlessness; lack of consideration
示す,しめす,"to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent / to point out (finger, clock hand, needle, etc.) / to indicate; to show; to represent; to signify; to display"
芝居,しばい,play; drama
借金,しゃっきん,debt; loan; liabilities; borrowing money
種類,しゅるい,variety; kind; type; category / counter for different sorts of things
出発,しゅっぱつ,departure
書類,しょるい,document; official papers
徐々,じょじょ,gradually; steadily; quietly; slowly; little by little / soon
招待,しょうたい,invitation
常識,じょうしき,common sense; good sense; common knowledge; general knowledge; common practice; accepted practice; social etiquette
食糧,しょくりょう,food (esp. staple food such as rice or wheat); provisions; rations; food supply
審判,しんぱん,refereeing; trial; judgement; judgment; umpire; referee
慎重,しんちょう,careful; cautious; prudent; discreet; deliberate
神経,しんけい,nerve / nerves; sensitivity
人工,じんこう,artificial; man-made; human work; human skill; artificiality
人種,じんしゅ,race (of people) / type of person
世話,せわ,looking after; help; aid; assistance
ぜひ,是非,certainly; without fail / right and wrong; pros and cons
整理,せいり,sorting; arrangement; organization; putting in order; adjustment; regulation / liquidation; settlement; consolidation; clearance (e.g. debt); paying off / retrenchment; curtailment; cutting down; disposal
税金,ぜいきん,tax; duty
善,ぜん,good; goodness; right; virtue
騒ぎ,さわぎ,uproar; disturbance
贈る,おくる,to give (as a gift); to present / to confer; to bestow; to award
息,いき,breath; breathing / tone; mood
孫,まご,grandchild
損,そん,loss; damage; harm; unprofitable / disadvantage; handicap; drawback; unfavorable
代金,だいきん,price; cost; charge; payment; bill; fee
大気,たいき,atmosphere
大陸,たいりく,continent / continental Asia (esp. mainland China) / continental Europe
宅,たく,house; home / one's husband
奪う,うばう,to snatch away; to dispossess; to steal
調子,ちょうし,tune; tone; key; pitch; time; rhythm / vein; mood; way; manner; style; knack / condition; state of health / impetus; spur of the moment; strain / trend
直ちに,ただちに,at once; immediately; directly; in person; automatically
追う,おう,"to chase; to run after; to pursue; to follow after / to follow (a set order, a trend, etc.) / to drive out; to get rid of; to oust; to expel / to drive (e.g. a herd) / to be pressed (e.g. for time)"
哲学,てつがく,philosophy
得意,とくい,"triumph; prosperity / pride / one's strong point; one's forte; one's specialty / frequent customer (client, etc.)"
読書,どくしょ,reading
日曜,にちよう,Sunday
熱心,ねっしん,zealous; enthusiastic; ardent; fervent; keen; eager
能,のう,talent; gift; function / noh (theatre)
犯人,はんにん,offender; criminal; culprit
否定,ひてい,denial; negation; repudiation; disavowal / negation (logic) / NOT operation
比較,ひかく,comparison
必ずしも,かならずしも,not always; not necessarily; not all; not entirely
評判,ひょうばん,fame; reputation; popularity / rumour (rumor); talk
負け,まけ,"defeat; loss; losing (a game) / failing to live up to (one's name, looks, etc.) / discount; loss (on a sale)"
腹,はら,"abdomen; belly; stomach / womb / one's mind; one's real intentions; one's true motive / courage; nerve; willpower / generosity; magnanimity / feelings; emotions / wide middle part; bulging part / inside; interior; inner part / anti-node / counter for hard roe / counter for containers with bulging middles (pots, vases, etc.)"
分ける,わける,to divide (into); to split (into); to part; to separate; to divide up; to classify; to sort out; to divide out / to share; to distribute; to deal out; to dish out / to distinguish; to discriminate; to differentiate (between) / to break up (a fight); to mediate / to call a draw; to tie / to push one's way through (a crowd) / to sell
文明,ぶんめい,civilization; civilisation; culture / Bunmei era (1469.4.28-1487.7.20)
保存,ほぞん,preservation; conservation; storage; maintenance / saving (e.g. to disk)
宝,たから,treasure
豊富,ほうふ,abundance; wealth; plenty; bounty
棒,ぼう,pole; rod; stick
幕,まく,curtain; bunting / act (in play)
満足,まんぞく,satisfaction; contentment; complacency / sufficient; enough; adequate; proper
免許,めんきょ,license; permit; licence; certificate
優秀,ゆうしゅう,superiority; excellence
予測,よそく,prediction; estimation
容易,ようい,easy; simple; plain
来,らい,"next (year, etc.) / since (last month, etc.)"
理想,りそう,ideal; ideals
離れる,はなれる,"to be separated; to be apart; to be distant / to leave; to go away / to leave (a job, etc.); to quit; to give up / to lose connection with; to drift away from"
陸,りく,land; shore
留学,りゅうがく,studying abroad
輪,わ,ring; circle; loop / hoop / wheel / circle (e.g. of friends)
冷静,れいせい,calmness; composure; coolness; serenity; presence of mind
礼,れい,thanks; gratitude / manners; etiquette / bow / reward; gift / ceremony; ritual
論争,ろんそう,dispute; controversy
化粧,けしょう,make-up; makeup; cosmetics
傷,きず,wound; injury; cut; gash; bruise; scratch; scrape; scar / chip; crack; scratch; nick / flaw; defect; weakness; weak point / stain (on one's reputation); disgrace; dishonor; dishonour / (emotional) hurt; hurt feelings
他人,たにん,another person; other people; others / unrelated person (i.e. not related by blood) / outsider; stranger
端,はし,end (e.g. of street); tip; point; edge; margin / beginning; start; first / odds and ends; scrap; odd bit; least
敵,てき,opponent; rival; adversary / menace; danger; threat; enemy
刺激,しげき,stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill
次々,つぎつぎ,in succession; one by one
必死,ひっし,frantic; frenetic; desperate / inevitable death / brinkmate (inevitable checkmate)
昼食,ちゅうしょく,lunch; midday meal / food served at a tea party (tea ceremony)
ふるさと,故郷,home town; birthplace; native place; one's old home / ruins; historic remains
王,おう,king; ruler; sovereign; monarch / tycoon; magnate; champion; master / king (of the senior player)
詩,し,poem; verse of poetry
実に,じつに,indeed; really; absolutely; truly; actually; very; quite
依頼,いらい,request; commission; entrusting (with a matter) / dependence; reliance
一瞬,いっしゅん,instant; moment; for an instant
印刷,いんさつ,printing
栄養,えいよう,nutrition; nourishment
延期,えんき,postponement; deferment; adjournment
応じる,おうじる,to respond; to satisfy; to accept; to comply with; to apply for
屋根,やね,roof
温暖,おんだん,warm; mild; temperate
温度,おんど,temperature
家事,かじ,housework; domestic chores / family affairs; household matters
活用,かつよう,practical use; application / conjugation; declension; inflection
感動,かんどう,being deeply moved emotionally; excitement; passion; inspiration; deep emotion; strong impression
缶,かん,can; tin / canned food
給料,きゅうりょう,salary; wages; pay
牛,うし,cattle (Bos taurus); cow; bull; ox; calf / beef / Chinese "Ox" constellation (one of the 28 mansions)
恐怖,きょうふ,fear; dread; dismay; terror; horror; scare; panic
玉,たま,"ball; sphere; globe; orb / bead (of sweat, dew, etc.); drop; droplet / ball (in sports) / pile (of noodles, etc.) / bullet / bulb (i.e. a light bulb) / lens (of glasses, etc.) / bead (of an abacus) / ball (i.e. a testicle) / gem; jewel (esp. spherical; sometimes used figuratively); pearl / female entertainer (e.g. a geisha) / person (when commenting on their nature); character / item, funds or person used as part of a plot / egg / coin / precious; beautiful; excellent"
金銭,きんせん,money; cash
苦労,くろう,trouble; hardship; difficulty; labour; labor; toil; pains / anxiety; worry; concern; cares
軍隊,ぐんたい,armed forces; military; troops
警告,けいこく,warning; advice
欠陥,けっかん,defect; fault; flaw; deformity; deficiency; shortage; gap
言語,げんご,language
虎,とら,tiger (Panthera tigris) / drunkard; drunk; sot
光景,こうけい,scene; spectacle; sight; view
高速,こうそく,high-speed; rapid; express / highway; freeway; expressway; motorway
左右,さゆう,left and right / influence; control; domination
際,さい,on the occasion of; circumstances; juncture
殺す,ころす,to kill
支給,しきゅう,provision; supply; payment; allowance; grant
詩人,しじん,poet
自殺,じさつ,suicide
失う,うしなう,to lose; to part with
主に,おもに,mainly; primarily
終える,おえる,to finish / to graduate
宿泊,しゅくはく,lodging
出来事,できごと,incident; affair; happening; event
順,じゅん,order; turn / obedient; docile; submissive; meek
助手,じょしゅ,assistant; helper / assistant (to a professor)
女王,じょおう,queen
商売,しょうばい,trade; business; commerce; transaction; occupation
消防,しょうぼう,fire fighting / fire department; fire brigade
証明,しょうめい,proof; verification; certification
賞,しょう,prize; award
信号,しんごう,signal; signalling; signaling / traffic light; traffic signal
身長,しんちょう,height (of body); stature
進学,しんがく,"entering a higher-level school, esp. going on to university"
世の中,よのなか,society; the world; the times
世間,せけん,world; society; people; the public
先日,せんじつ,the other day; a few days ago
泉,いずみ,spring; fountain
前進,ぜんしん,advance; moving forward; progress
組,くみ,set (of items) / group (of people); class (of students); company (esp. construction); family (i.e. mafia); team / typesetting; composition
騒音,そうおん,noise
大いに,おおいに,very; much; greatly; a lot of
単なる,たんなる,mere; simple; sheer
単に,たんに,simply; merely; only; solely
知恵,ちえ,wisdom; wit; sagacity; sense; intelligence / prajna (insight leading to enlightenment)
茶,ちゃ,tea / tea plant (Camellia sinensis) / tea preparation; making tea / brown / mockery
通過,つうか,"passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit / passage (of a bill, e.g. through parliament); carriage / passing (an examination, inspection, etc.); clearing"
登山,とざん,mountain climbing
都会,とかい,city / Tokyo Metropolitan Assembly
働き,はたらき,work; labor; labour / achievement; performance; ability; talent / salary; income; earnings / action; activity; workings; function; operation; movement; motion / conjugation; inflection
同僚,どうりょう,coworker; co-worker; colleague; associate
